resume_id,bullet_id,section,bullet_text,Is_Me
642,1,Work Experience,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against",1
642,2,Work Experience,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and,1
642,3,Work Experience,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-,1
642,4,Work Experience,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,",1
642,5,Work Experience,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into",1
642,6,Work Experience,Delivered insightful visualizations to support decision-making and client communication.,1
642,7,Work Experience,Work with non-profit mission driven companies to help them understand their data and make better business decisions.,1
642,8,Work Experience,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine",1
642,9,Work Experience,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether,1
642,10,Work Experience,Profiled incoming telemetry data in real time to detect issues and anomalies.,1
642,11,Work Experience,Applied statistical methods evaluating variables from two leading magentocardiography publications to determine if,1
642,12,Work Experience,Evaluated certain patient physical characteristics and impact on prediction model accuracy.,1
642,13,Work Experience,"Automated calculation of Sensitivity, Specificity, Accuracy and Confidence Intervals for clinical study results.",1
642,14,Work Experience,Provided significance tests for cardiac surgery department (a) to determine volumes did not support reduction of,1
642,15,Work Experience,"Architected, programmed & delivered seminal work-flow to calculate utilization of anesthesiologists site wide.",1
642,16,Work Experience,"Provided data & dashboard to influence decision to use median procedure time vs ""one size fits all"" for high volume",1
642,17,Work Experience,"Created views, stored procedures and tables underpinning nurse scheduling optimization project; architected process",1
642,18,Work Experience,"Prototyped optimization of nurse shift preferences with daily demand,",1
